"%Rottgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; NaN, not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
wavelength;wavenumber;PsiS;PsiS_std;PsiS_ASW;PsiS_ASW_std
7400;1351.35;NaN;NaN;-1.41E+01;NaN
7402;1350.99;NaN;NaN;-1.41E+01;NaN
7404;1350.62;NaN;NaN;-1.40E+01;NaN
7406;1350.26;NaN;NaN;-1.40E+01;NaN
7408;1349.89;NaN;NaN;-1.40E+01;NaN
7410;1349.53;NaN;NaN;-1.39E+01;NaN
7412;1349.16;NaN;NaN;-1.39E+01;NaN
7414;1348.8;NaN;NaN;-1.39E+01;NaN
7416;1348.44;NaN;NaN;-1.38E+01;NaN
7418;1348.07;NaN;NaN;-1.38E+01;NaN
7420;1347.71;NaN;NaN;-1.38E+01;NaN
7422;1347.35;NaN;NaN;-1.37E+01;NaN
7424;1346.98;NaN;NaN;-1.37E+01;NaN
7426;1346.62;NaN;NaN;-1.36E+01;NaN
7428;1346.26;NaN;NaN;-1.36E+01;NaN
7430;1345.9;NaN;NaN;-1.36E+01;NaN
7432;1345.53;NaN;NaN;-1.35E+01;NaN
7434;1345.17;NaN;NaN;-1.35E+01;NaN
7436;1344.81;NaN;NaN;-1.35E+01;NaN
7438;1344.45;NaN;NaN;-1.34E+01;NaN
7440;1344.09;NaN;NaN;-1.34E+01;NaN
7442;1343.72;NaN;NaN;-1.33E+01;NaN
7444;1343.36;NaN;NaN;-1.33E+01;NaN
7446;1343;NaN;NaN;-1.33E+01;NaN
7448;1342.64;NaN;NaN;-1.33E+01;NaN
7450;1342.28;NaN;NaN;-1.32E+01;NaN
7452;1341.92;NaN;NaN;-1.32E+01;NaN
7454;1341.56;NaN;NaN;-1.32E+01;NaN
7456;1341.2;NaN;NaN;-1.31E+01;NaN
7458;1340.84;NaN;NaN;-1.31E+01;NaN
7460;1340.48;NaN;NaN;-1.31E+01;NaN
7462;1340.12;NaN;NaN;-1.31E+01;NaN
7464;1339.76;NaN;NaN;-1.30E+01;NaN
7466;1339.41;NaN;NaN;-1.30E+01;NaN
7468;1339.05;NaN;NaN;-1.30E+01;NaN
7470;1338.69;NaN;NaN;-1.30E+01;NaN
7472;1338.33;NaN;NaN;-1.29E+01;NaN
7474;1337.97;NaN;NaN;-1.29E+01;NaN
7476;1337.61;NaN;NaN;-1.29E+01;NaN
7478;1337.26;NaN;NaN;-1.28E+01;NaN
7480;1336.9;NaN;NaN;-1.28E+01;NaN
7482;1336.54;NaN;NaN;-1.27E+01;NaN
7484;1336.18;NaN;NaN;-1.27E+01;NaN
7486;1335.83;NaN;NaN;-1.27E+01;NaN
7488;1335.47;NaN;NaN;-1.26E+01;NaN
7490;1335.11;NaN;NaN;-1.26E+01;NaN
7492;1334.76;NaN;NaN;-1.26E+01;NaN
7494;1334.4;NaN;NaN;-1.25E+01;NaN
7496;1334.04;NaN;NaN;-1.25E+01;NaN
7498;1333.69;NaN;NaN;-1.25E+01;NaN
7500;1333.33;NaN;NaN;-1.24E+01;NaN
7502;1332.98;NaN;NaN;-1.24E+01;NaN
7504;1332.62;NaN;NaN;-1.23E+01;NaN
7506;1332.27;NaN;NaN;-1.23E+01;NaN
7508;1331.91;NaN;NaN;-1.23E+01;NaN
7510;1331.56;NaN;NaN;-1.22E+01;NaN
7512;1331.2;NaN;NaN;-1.22E+01;NaN
7514;1330.85;NaN;NaN;-1.21E+01;NaN
7516;1330.49;NaN;NaN;-1.21E+01;NaN
7518;1330.14;NaN;NaN;-1.20E+01;NaN
7520;1329.79;NaN;NaN;-1.20E+01;NaN
7522;1329.43;NaN;NaN;-1.19E+01;NaN
7524;1329.08;NaN;NaN;-1.19E+01;NaN
7526;1328.73;NaN;NaN;-1.19E+01;NaN
7528;1328.37;NaN;NaN;-1.18E+01;NaN
7530;1328.02;NaN;NaN;-1.18E+01;NaN
7532;1327.67;NaN;NaN;-1.17E+01;NaN
7534;1327.32;NaN;NaN;-1.17E+01;NaN
7536;1326.96;NaN;NaN;-1.17E+01;NaN
7538;1326.61;NaN;NaN;-1.17E+01;NaN
7540;1326.26;NaN;NaN;-1.16E+01;NaN
7542;1325.91;NaN;NaN;-1.16E+01;NaN
7544;1325.56;NaN;NaN;-1.16E+01;NaN
7546;1325.21;NaN;NaN;-1.15E+01;NaN
7548;1324.85;NaN;NaN;-1.15E+01;NaN
7550;1324.5;NaN;NaN;-1.15E+01;NaN
7552;1324.15;NaN;NaN;-1.14E+01;NaN
7554;1323.8;NaN;NaN;-1.14E+01;NaN
7556;1323.45;NaN;NaN;-1.13E+01;NaN
7558;1323.1;NaN;NaN;-1.13E+01;NaN
7560;1322.75;NaN;NaN;-1.13E+01;NaN
7562;1322.4;NaN;NaN;-1.12E+01;NaN
7564;1322.05;NaN;NaN;-1.12E+01;NaN
7566;1321.7;NaN;NaN;-1.11E+01;NaN
7568;1321.35;NaN;NaN;-1.11E+01;NaN
7570;1321;NaN;NaN;-1.11E+01;NaN
7572;1320.66;NaN;NaN;-1.10E+01;NaN
7574;1320.31;NaN;NaN;-1.10E+01;NaN
7576;1319.96;NaN;NaN;-1.10E+01;NaN
7578;1319.61;NaN;NaN;-1.09E+01;NaN
7580;1319.26;NaN;NaN;-1.09E+01;NaN
7582;1318.91;NaN;NaN;-1.09E+01;NaN
7584;1318.57;NaN;NaN;-1.08E+01;NaN
7586;1318.22;NaN;NaN;-1.08E+01;NaN
7588;1317.87;NaN;NaN;-1.08E+01;NaN
7590;1317.52;NaN;NaN;-1.07E+01;NaN
7592;1317.18;NaN;NaN;-1.07E+01;NaN
7594;1316.83;NaN;NaN;-1.07E+01;NaN
7596;1316.48;NaN;NaN;-1.06E+01;NaN
7598;1316.14;NaN;NaN;-1.06E+01;NaN
7600;1315.79;NaN;NaN;-1.06E+01;NaN
7602;1315.44;NaN;NaN;-1.05E+01;NaN
7604;1315.1;NaN;NaN;-1.05E+01;NaN
7606;1314.75;NaN;NaN;-1.05E+01;NaN
7608;1314.41;NaN;NaN;-1.04E+01;NaN
7610;1314.06;NaN;NaN;-1.04E+01;NaN
7612;1313.72;NaN;NaN;-1.04E+01;NaN
7614;1313.37;NaN;NaN;-1.03E+01;NaN
7616;1313.03;NaN;NaN;-1.03E+01;NaN
7618;1312.68;NaN;NaN;-1.03E+01;NaN
7620;1312.34;NaN;NaN;-1.03E+01;NaN
7622;1311.99;NaN;NaN;-1.02E+01;NaN
7624;1311.65;NaN;NaN;-1.02E+01;NaN
7626;1311.3;NaN;NaN;-1.02E+01;NaN
7628;1310.96;NaN;NaN;-1.01E+01;NaN
7630;1310.62;NaN;NaN;-1.01E+01;NaN
7632;1310.27;NaN;NaN;-1.01E+01;NaN
7634;1309.93;NaN;NaN;-1.00E+01;NaN
7636;1309.59;NaN;NaN;-1.00E+01;NaN
7638;1309.24;NaN;NaN;-9.98E+00;NaN
7640;1308.9;NaN;NaN;-9.96E+00;NaN
7642;1308.56;NaN;NaN;-9.93E+00;NaN
7644;1308.22;NaN;NaN;-9.91E+00;NaN
7646;1307.87;NaN;NaN;-9.88E+00;NaN
7648;1307.53;NaN;NaN;-9.86E+00;NaN
7650;1307.19;NaN;NaN;-9.83E+00;NaN
7652;1306.85;NaN;NaN;-9.80E+00;NaN
7654;1306.51;NaN;NaN;-9.77E+00;NaN
7656;1306.17;NaN;NaN;-9.75E+00;NaN
7658;1305.82;NaN;NaN;-9.72E+00;NaN
7660;1305.48;NaN;NaN;-9.69E+00;NaN
7662;1305.14;NaN;NaN;-9.66E+00;NaN
7664;1304.8;NaN;NaN;-9.63E+00;NaN
7666;1304.46;NaN;NaN;-9.59E+00;NaN
7668;1304.12;NaN;NaN;-9.56E+00;NaN
7670;1303.78;NaN;NaN;-9.53E+00;NaN
7672;1303.44;NaN;NaN;-9.50E+00;NaN
7674;1303.1;NaN;NaN;-9.47E+00;NaN
7676;1302.76;NaN;NaN;-9.44E+00;NaN
7678;1302.42;NaN;NaN;-9.41E+00;NaN
7680;1302.08;NaN;NaN;-9.38E+00;NaN
7682;1301.74;NaN;NaN;-9.36E+00;NaN
7684;1301.41;NaN;NaN;-9.33E+00;NaN
7686;1301.07;NaN;NaN;-9.30E+00;NaN
7688;1300.73;NaN;NaN;-9.27E+00;NaN
7690;1300.39;NaN;NaN;-9.24E+00;NaN
7692;1300.05;NaN;NaN;-9.21E+00;NaN
7694;1299.71;NaN;NaN;-9.18E+00;NaN
7696;1299.38;NaN;NaN;-9.15E+00;NaN
7698;1299.04;NaN;NaN;-9.12E+00;NaN
7700;1298.7;NaN;NaN;-9.09E+00;NaN
7702;1298.36;NaN;NaN;-9.06E+00;NaN
7704;1298.03;NaN;NaN;-9.03E+00;NaN
7706;1297.69;NaN;NaN;-9.01E+00;NaN
7708;1297.35;NaN;NaN;-8.98E+00;NaN
7710;1297.02;NaN;NaN;-8.95E+00;NaN
7712;1296.68;NaN;NaN;-8.92E+00;NaN
7714;1296.34;NaN;NaN;-8.90E+00;NaN
7716;1296.01;NaN;NaN;-8.87E+00;NaN
7718;1295.67;NaN;NaN;-8.85E+00;NaN
7720;1295.34;NaN;NaN;-8.82E+00;NaN
7722;1295;NaN;NaN;-8.79E+00;NaN
7724;1294.67;NaN;NaN;-8.77E+00;NaN
7726;1294.33;NaN;NaN;-8.74E+00;NaN
7728;1294;NaN;NaN;-8.71E+00;NaN
7730;1293.66;NaN;NaN;-8.68E+00;NaN
7732;1293.33;NaN;NaN;-8.65E+00;NaN
7734;1292.99;NaN;NaN;-8.62E+00;NaN
7736;1292.66;NaN;NaN;-8.59E+00;NaN
7738;1292.32;NaN;NaN;-8.56E+00;NaN
7740;1291.99;NaN;NaN;-8.53E+00;NaN
7742;1291.66;NaN;NaN;-8.50E+00;NaN
7744;1291.32;NaN;NaN;-8.47E+00;NaN
7746;1290.99;NaN;NaN;-8.44E+00;NaN
7748;1290.66;NaN;NaN;-8.41E+00;NaN
7750;1290.32;NaN;NaN;-8.38E+00;NaN
7752;1289.99;NaN;NaN;-8.35E+00;NaN
7754;1289.66;NaN;NaN;-8.32E+00;NaN
7756;1289.32;NaN;NaN;-8.29E+00;NaN
7758;1288.99;NaN;NaN;-8.26E+00;NaN
7760;1288.66;NaN;NaN;-8.24E+00;NaN
7762;1288.33;NaN;NaN;-8.21E+00;NaN
7764;1288;NaN;NaN;-8.18E+00;NaN
7766;1287.66;NaN;NaN;-8.16E+00;NaN
7768;1287.33;NaN;NaN;-8.13E+00;NaN
7770;1287;NaN;NaN;-8.10E+00;NaN
7772;1286.67;NaN;NaN;-8.07E+00;NaN
7774;1286.34;NaN;NaN;-8.05E+00;NaN
7776;1286.01;NaN;NaN;-8.03E+00;NaN
7778;1285.68;NaN;NaN;-8.00E+00;NaN
7780;1285.35;NaN;NaN;-7.97E+00;NaN
7782;1285.02;NaN;NaN;-7.95E+00;NaN
7784;1284.69;NaN;NaN;-7.93E+00;NaN
7786;1284.36;NaN;NaN;-7.90E+00;NaN
7788;1284.03;NaN;NaN;-7.87E+00;NaN
7790;1283.7;NaN;NaN;-7.85E+00;NaN
7792;1283.37;NaN;NaN;-7.82E+00;NaN
7794;1283.04;NaN;NaN;-7.80E+00;NaN
7796;1282.71;NaN;NaN;-7.77E+00;NaN
7798;1282.38;NaN;NaN;-7.74E+00;NaN
7800;1282.05;NaN;NaN;-7.71E+00;NaN
7802;1281.72;NaN;NaN;-7.69E+00;NaN
7804;1281.39;NaN;NaN;-7.66E+00;NaN
7806;1281.07;NaN;NaN;-7.63E+00;NaN
7808;1280.74;NaN;NaN;-7.61E+00;NaN
7810;1280.41;NaN;NaN;-7.58E+00;NaN
7812;1280.08;NaN;NaN;-7.55E+00;NaN
7814;1279.75;NaN;NaN;-7.53E+00;NaN
7816;1279.43;NaN;NaN;-7.50E+00;NaN
7818;1279.1;NaN;NaN;-7.47E+00;NaN
7820;1278.77;NaN;NaN;-7.44E+00;NaN
7822;1278.45;NaN;NaN;-7.41E+00;NaN
7824;1278.12;NaN;NaN;-7.38E+00;NaN
7826;1277.79;NaN;NaN;-7.36E+00;NaN
7828;1277.47;NaN;NaN;-7.33E+00;NaN
7830;1277.14;NaN;NaN;-7.30E+00;NaN
7832;1276.81;NaN;NaN;-7.27E+00;NaN
7834;1276.49;NaN;NaN;-7.25E+00;NaN
7836;1276.16;NaN;NaN;-7.22E+00;NaN
7838;1275.84;NaN;NaN;-7.19E+00;NaN
7840;1275.51;NaN;NaN;-7.17E+00;NaN
7842;1275.18;NaN;NaN;-7.14E+00;NaN
7844;1274.86;NaN;NaN;-7.11E+00;NaN
7846;1274.53;NaN;NaN;-7.08E+00;NaN
7848;1274.21;NaN;NaN;-7.06E+00;NaN
7850;1273.89;NaN;NaN;-7.03E+00;NaN
7852;1273.56;NaN;NaN;-7.00E+00;NaN
7854;1273.24;NaN;NaN;-6.97E+00;NaN
7856;1272.91;NaN;NaN;-6.94E+00;NaN
7858;1272.59;NaN;NaN;-6.91E+00;NaN
7860;1272.26;NaN;NaN;-6.89E+00;NaN
7862;1271.94;NaN;NaN;-6.87E+00;NaN
7864;1271.62;NaN;NaN;-6.84E+00;NaN
7866;1271.29;NaN;NaN;-6.82E+00;NaN
7868;1270.97;NaN;NaN;-6.80E+00;NaN
7870;1270.65;NaN;NaN;-6.79E+00;NaN
7872;1270.33;NaN;NaN;-6.76E+00;NaN
7874;1270;NaN;NaN;-6.74E+00;NaN
7876;1269.68;NaN;NaN;-6.72E+00;NaN
7878;1269.36;NaN;NaN;-6.70E+00;NaN
7880;1269.04;NaN;NaN;-6.67E+00;NaN
7882;1268.71;NaN;NaN;-6.65E+00;NaN
7884;1268.39;NaN;NaN;-6.62E+00;NaN
7886;1268.07;NaN;NaN;-6.60E+00;NaN
7888;1267.75;NaN;NaN;-6.57E+00;NaN
7890;1267.43;NaN;NaN;-6.54E+00;NaN
7892;1267.11;NaN;NaN;-6.51E+00;NaN
7894;1266.78;NaN;NaN;-6.48E+00;NaN
7896;1266.46;NaN;NaN;-6.45E+00;NaN
7898;1266.14;NaN;NaN;-6.42E+00;NaN
7900;1265.82;NaN;NaN;-6.39E+00;NaN
7902;1265.5;NaN;NaN;-6.36E+00;NaN
7904;1265.18;NaN;NaN;-6.33E+00;NaN
7906;1264.86;NaN;NaN;-6.30E+00;NaN
7908;1264.54;NaN;NaN;-6.28E+00;NaN
7910;1264.22;NaN;NaN;-6.25E+00;NaN
7912;1263.9;NaN;NaN;-6.22E+00;NaN
7914;1263.58;NaN;NaN;-6.20E+00;NaN
7916;1263.26;NaN;NaN;-6.17E+00;NaN
7918;1262.95;NaN;NaN;-6.15E+00;NaN
7920;1262.63;NaN;NaN;-6.13E+00;NaN
7922;1262.31;NaN;NaN;-6.11E+00;NaN
7924;1261.99;NaN;NaN;-6.09E+00;NaN
7926;1261.67;NaN;NaN;-6.08E+00;NaN
7928;1261.35;NaN;NaN;-6.06E+00;NaN
7930;1261.03;NaN;NaN;-6.05E+00;NaN
7932;1260.72;NaN;NaN;-6.03E+00;NaN
7934;1260.4;NaN;NaN;-6.01E+00;NaN
7936;1260.08;NaN;NaN;-5.99E+00;NaN
7938;1259.76;NaN;NaN;-5.98E+00;NaN
7940;1259.45;NaN;NaN;-5.96E+00;NaN
7942;1259.13;NaN;NaN;-5.94E+00;NaN
7944;1258.81;NaN;NaN;-5.92E+00;NaN
7946;1258.49;NaN;NaN;-5.90E+00;NaN
7948;1258.18;NaN;NaN;-5.88E+00;NaN
7950;1257.86;NaN;NaN;-5.86E+00;NaN
7952;1257.55;NaN;NaN;-5.83E+00;NaN
7954;1257.23;NaN;NaN;-5.81E+00;NaN
7956;1256.91;NaN;NaN;-5.80E+00;NaN
7958;1256.6;NaN;NaN;-5.78E+00;NaN
7960;1256.28;NaN;NaN;-5.76E+00;NaN
7962;1255.97;NaN;NaN;-5.74E+00;NaN
7964;1255.65;NaN;NaN;-5.73E+00;NaN
7966;1255.34;NaN;NaN;-5.71E+00;NaN
7968;1255.02;NaN;NaN;-5.70E+00;NaN
7970;1254.71;NaN;NaN;-5.68E+00;NaN
7972;1254.39;NaN;NaN;-5.67E+00;NaN
7974;1254.08;NaN;NaN;-5.65E+00;NaN
7976;1253.76;NaN;NaN;-5.64E+00;NaN
7978;1253.45;NaN;NaN;-5.62E+00;NaN
7980;1253.13;NaN;NaN;-5.61E+00;NaN
7982;1252.82;NaN;NaN;-5.59E+00;NaN
7984;1252.51;NaN;NaN;-5.58E+00;NaN
7986;1252.19;NaN;NaN;-5.56E+00;NaN
7988;1251.88;NaN;NaN;-5.55E+00;NaN
7990;1251.56;NaN;NaN;-5.53E+00;NaN
7992;1251.25;NaN;NaN;-5.52E+00;NaN
7994;1250.94;NaN;NaN;-5.50E+00;NaN
7996;1250.63;NaN;NaN;-5.48E+00;NaN
7998;1250.31;NaN;NaN;-5.46E+00;NaN
8000;1250;NaN;NaN;-5.44E+00;NaN
8002;1249.69;NaN;NaN;-5.42E+00;NaN
8004;1249.38;NaN;NaN;-5.41E+00;NaN
8006;1249.06;NaN;NaN;-5.39E+00;NaN
8008;1248.75;NaN;NaN;-5.37E+00;NaN
8010;1248.44;NaN;NaN;-5.35E+00;NaN
8012;1248.13;NaN;NaN;-5.34E+00;NaN
8014;1247.82;NaN;NaN;-5.32E+00;NaN
8016;1247.5;NaN;NaN;-5.30E+00;NaN
8018;1247.19;NaN;NaN;-5.28E+00;NaN
8020;1246.88;NaN;NaN;-5.26E+00;NaN
8022;1246.57;NaN;NaN;-5.24E+00;NaN
8024;1246.26;NaN;NaN;-5.22E+00;NaN
8026;1245.95;NaN;NaN;-5.20E+00;NaN
8028;1245.64;NaN;NaN;-5.18E+00;NaN
8030;1245.33;NaN;NaN;-5.16E+00;NaN
8032;1245.02;NaN;NaN;-5.15E+00;NaN
8034;1244.71;NaN;NaN;-5.13E+00;NaN
8036;1244.4;NaN;NaN;-5.11E+00;NaN
8038;1244.09;NaN;NaN;-5.09E+00;NaN
8040;1243.78;NaN;NaN;-5.07E+00;NaN
8042;1243.47;NaN;NaN;-5.06E+00;NaN
8044;1243.16;NaN;NaN;-5.04E+00;NaN
8046;1242.85;NaN;NaN;-5.03E+00;NaN
8048;1242.54;NaN;NaN;-5.01E+00;NaN
8050;1242.24;NaN;NaN;-5.00E+00;NaN
8052;1241.93;NaN;NaN;-4.99E+00;NaN
8054;1241.62;NaN;NaN;-4.97E+00;NaN
8056;1241.31;NaN;NaN;-4.96E+00;NaN
8058;1241;NaN;NaN;-4.94E+00;NaN
8060;1240.69;NaN;NaN;-4.93E+00;NaN
8062;1240.39;NaN;NaN;-4.91E+00;NaN
8064;1240.08;NaN;NaN;-4.89E+00;NaN
8066;1239.77;NaN;NaN;-4.87E+00;NaN
8068;1239.46;NaN;NaN;-4.86E+00;NaN
8070;1239.16;NaN;NaN;-4.84E+00;NaN
8072;1238.85;NaN;NaN;-4.82E+00;NaN
8074;1238.54;NaN;NaN;-4.81E+00;NaN
8076;1238.24;NaN;NaN;-4.79E+00;NaN
8078;1237.93;NaN;NaN;-4.78E+00;NaN
8080;1237.62;NaN;NaN;-4.77E+00;NaN
8082;1237.32;NaN;NaN;-4.75E+00;NaN
8084;1237.01;NaN;NaN;-4.74E+00;NaN
8086;1236.71;NaN;NaN;-4.73E+00;NaN
8088;1236.4;NaN;NaN;-4.71E+00;NaN
8090;1236.09;NaN;NaN;-4.70E+00;NaN
8092;1235.79;NaN;NaN;-4.69E+00;NaN
8094;1235.48;NaN;NaN;-4.67E+00;NaN
8096;1235.18;NaN;NaN;-4.66E+00;NaN
8098;1234.87;NaN;NaN;-4.64E+00;NaN
8100;1234.57;NaN;NaN;-4.62E+00;NaN
8102;1234.26;NaN;NaN;-4.60E+00;NaN
8104;1233.96;NaN;NaN;-4.59E+00;NaN
8106;1233.65;NaN;NaN;-4.57E+00;NaN
8108;1233.35;NaN;NaN;-4.55E+00;NaN
8110;1233.05;NaN;NaN;-4.54E+00;NaN
8112;1232.74;NaN;NaN;-4.52E+00;NaN
8114;1232.44;NaN;NaN;-4.50E+00;NaN
8116;1232.13;NaN;NaN;-4.49E+00;NaN
8118;1231.83;NaN;NaN;-4.47E+00;NaN
8120;1231.53;NaN;NaN;-4.46E+00;NaN
8122;1231.22;NaN;NaN;-4.44E+00;NaN
8124;1230.92;NaN;NaN;-4.43E+00;NaN
8126;1230.62;NaN;NaN;-4.42E+00;NaN
8128;1230.31;NaN;NaN;-4.40E+00;NaN
8130;1230.01;NaN;NaN;-4.39E+00;NaN
8132;1229.71;NaN;NaN;-4.38E+00;NaN
8134;1229.41;NaN;NaN;-4.37E+00;NaN
8136;1229.11;NaN;NaN;-4.36E+00;NaN
8138;1228.8;NaN;NaN;-4.35E+00;NaN
8140;1228.5;NaN;NaN;-4.35E+00;NaN
8142;1228.2;NaN;NaN;-4.34E+00;NaN
8144;1227.9;NaN;NaN;-4.33E+00;NaN
8146;1227.6;NaN;NaN;-4.32E+00;NaN
8148;1227.3;NaN;NaN;-4.31E+00;NaN
8150;1226.99;NaN;NaN;-4.31E+00;NaN
8152;1226.69;NaN;NaN;-4.30E+00;NaN
8154;1226.39;NaN;NaN;-4.29E+00;NaN
8156;1226.09;NaN;NaN;-4.27E+00;NaN
8158;1225.79;NaN;NaN;-4.26E+00;NaN
8160;1225.49;NaN;NaN;-4.25E+00;NaN
8162;1225.19;NaN;NaN;-4.23E+00;NaN
8164;1224.89;NaN;NaN;-4.22E+00;NaN
8166;1224.59;NaN;NaN;-4.20E+00;NaN
8168;1224.29;NaN;NaN;-4.18E+00;NaN
8170;1223.99;NaN;NaN;-4.17E+00;NaN
8172;1223.69;NaN;NaN;-4.15E+00;NaN
8174;1223.39;NaN;NaN;-4.14E+00;NaN
8176;1223.09;NaN;NaN;-4.12E+00;NaN
8178;1222.79;NaN;NaN;-4.11E+00;NaN
8180;1222.49;NaN;NaN;-4.10E+00;NaN
8182;1222.2;NaN;NaN;-4.09E+00;NaN
8184;1221.9;NaN;NaN;-4.07E+00;NaN
8186;1221.6;NaN;NaN;-4.06E+00;NaN
8188;1221.3;NaN;NaN;-4.05E+00;NaN
8190;1221;NaN;NaN;-4.04E+00;NaN
8192;1220.7;NaN;NaN;-4.03E+00;NaN
8194;1220.41;NaN;NaN;-4.02E+00;NaN
8196;1220.11;NaN;NaN;-4.01E+00;NaN
8198;1219.81;NaN;NaN;-4.00E+00;NaN
8200;1219.51;NaN;NaN;-3.99E+00;NaN
8202;1219.21;NaN;NaN;-3.97E+00;NaN
8204;1218.92;NaN;NaN;-3.96E+00;NaN
8206;1218.62;NaN;NaN;-3.95E+00;NaN
8208;1218.32;NaN;NaN;-3.94E+00;NaN
8210;1218.03;NaN;NaN;-3.93E+00;NaN
8212;1217.73;NaN;NaN;-3.92E+00;NaN
8214;1217.43;NaN;NaN;-3.91E+00;NaN
8216;1217.14;NaN;NaN;-3.90E+00;NaN
8218;1216.84;NaN;NaN;-3.89E+00;NaN
8220;1216.55;NaN;NaN;-3.88E+00;NaN
8222;1216.25;NaN;NaN;-3.87E+00;NaN
8224;1215.95;NaN;NaN;-3.86E+00;NaN
8226;1215.66;NaN;NaN;-3.85E+00;NaN
8228;1215.36;NaN;NaN;-3.83E+00;NaN
8230;1215.07;NaN;NaN;-3.82E+00;NaN
8232;1214.77;NaN;NaN;-3.81E+00;NaN
8234;1214.48;NaN;NaN;-3.80E+00;NaN
8236;1214.18;NaN;NaN;-3.79E+00;NaN
8238;1213.89;NaN;NaN;-3.78E+00;NaN
8240;1213.59;NaN;NaN;-3.77E+00;NaN
8242;1213.3;NaN;NaN;-3.76E+00;NaN
8244;1213;NaN;NaN;-3.75E+00;NaN
8246;1212.71;NaN;NaN;-3.74E+00;NaN
8248;1212.42;NaN;NaN;-3.73E+00;NaN
8250;1212.12;NaN;NaN;-3.73E+00;NaN
8252;1211.83;NaN;NaN;-3.72E+00;NaN
8254;1211.53;NaN;NaN;-3.71E+00;NaN
8256;1211.24;NaN;NaN;-3.70E+00;NaN
8258;1210.95;NaN;NaN;-3.69E+00;NaN
8260;1210.65;NaN;NaN;-3.68E+00;NaN
8262;1210.36;NaN;NaN;-3.67E+00;NaN
8264;1210.07;NaN;NaN;-3.66E+00;NaN
8266;1209.77;NaN;NaN;-3.65E+00;NaN
8268;1209.48;NaN;NaN;-3.64E+00;NaN
8270;1209.19;NaN;NaN;-3.63E+00;NaN
8272;1208.9;NaN;NaN;-3.61E+00;NaN
8274;1208.61;NaN;NaN;-3.60E+00;NaN
8276;1208.31;NaN;NaN;-3.59E+00;NaN
8278;1208.02;NaN;NaN;-3.57E+00;NaN
8280;1207.73;NaN;NaN;-3.56E+00;NaN
8282;1207.44;NaN;NaN;-3.54E+00;NaN
8284;1207.15;NaN;NaN;-3.53E+00;NaN
8286;1206.85;NaN;NaN;-3.51E+00;NaN
8288;1206.56;NaN;NaN;-3.50E+00;NaN
8290;1206.27;NaN;NaN;-3.48E+00;NaN
8292;1205.98;NaN;NaN;-3.47E+00;NaN
8294;1205.69;NaN;NaN;-3.45E+00;NaN
8296;1205.4;NaN;NaN;-3.43E+00;NaN
8298;1205.11;NaN;NaN;-3.42E+00;NaN
8300;1204.82;NaN;NaN;-3.41E+00;NaN
8302;1204.53;NaN;NaN;-3.39E+00;NaN
8304;1204.24;NaN;NaN;-3.38E+00;NaN
8306;1203.95;NaN;NaN;-3.37E+00;NaN
8308;1203.66;NaN;NaN;-3.36E+00;NaN
8310;1203.37;NaN;NaN;-3.35E+00;NaN
8312;1203.08;NaN;NaN;-3.35E+00;NaN
8314;1202.79;NaN;NaN;-3.34E+00;NaN
8316;1202.5;NaN;NaN;-3.33E+00;NaN
8318;1202.21;NaN;NaN;-3.32E+00;NaN
8320;1201.92;NaN;NaN;-3.31E+00;NaN
8322;1201.63;NaN;NaN;-3.31E+00;NaN
8324;1201.35;NaN;NaN;-3.30E+00;NaN
8326;1201.06;NaN;NaN;-3.29E+00;NaN
8328;1200.77;NaN;NaN;-3.28E+00;NaN
8330;1200.48;NaN;NaN;-3.27E+00;NaN
8332;1200.19;NaN;NaN;-3.26E+00;NaN
8334;1199.9;NaN;NaN;-3.25E+00;NaN
8336;1199.62;NaN;NaN;-3.24E+00;NaN
8338;1199.33;NaN;NaN;-3.23E+00;NaN
8340;1199.04;NaN;NaN;-3.22E+00;NaN
8342;1198.75;NaN;NaN;-3.20E+00;NaN
8344;1198.47;NaN;NaN;-3.19E+00;NaN
8346;1198.18;NaN;NaN;-3.18E+00;NaN
8348;1197.89;NaN;NaN;-3.17E+00;NaN
8350;1197.6;NaN;NaN;-3.16E+00;NaN
8352;1197.32;NaN;NaN;-3.15E+00;NaN
8354;1197.03;NaN;NaN;-3.14E+00;NaN
8356;1196.74;NaN;NaN;-3.14E+00;NaN
8358;1196.46;NaN;NaN;-3.13E+00;NaN
8360;1196.17;NaN;NaN;-3.12E+00;NaN
8362;1195.89;NaN;NaN;-3.11E+00;NaN
8364;1195.6;NaN;NaN;-3.11E+00;NaN
8366;1195.31;NaN;NaN;-3.11E+00;NaN
8368;1195.03;NaN;NaN;-3.10E+00;NaN
8370;1194.74;NaN;NaN;-3.10E+00;NaN
8372;1194.46;NaN;NaN;-3.10E+00;NaN
8374;1194.17;NaN;NaN;-3.10E+00;NaN
